b1r5,b6r1,b6r5a,b6r5b,b7r24,b7r25,b7r26a,b7r26b,jart,exp_cap
1,1,24,36,393291.666666667,1201577.38095238,15,1,4,300394.345238095
1,1,24,80,420958.333333333,1150815.47619048,7,1,3,383605.158730159
1,7,30,72,144000,513000,1,2,3,171000
2,1,54,120,513833.333333333,1616547.61904762,15,1,6,269424.603174603
1,1,50,360,201525,803667.857142857,1,2,2,401833.928571429
1,1,42,50,330333.333333333,831761.904761905,15,2,3,277253.968253968
2,1,30,72,227333.333333333,421904.761904762,1,2,1,421904.761904762
2,7,20,53,233166.666666667,882452.380952381,6,1,4,220613.095238095
2,7,30,55,342500,930500,6,1,3,310166.666666667
2,1,48,86,566833.333333333,1624976.19047619,15,1,8,203122.023809524
1,1,81,150,581983.333333333,999840.476190476,9,2,4,249960.119047619
1,1,30,120,497175,1008889.28571429,1,2,6,168148.214285714
2,1,24,150,451900,1075042.85714286,1,1,3,358347.619047619
2,1,35,380,382350,1527921.42857143,1,2,9,169769.047619048
2,5,36,90,369116.666666667,745830.952380952,1,1,2,372915.476190476
2,1,48,300,247066.666666667,986352.380952381,1,1,4,246588.095238095
2,1,56,300,377900,1103042.85714286,1,2,5,220608.571428571
2,1,48,300,479241.666666667,1535241.66666667,6,2,7,219320.238095238
2,1,12,30,142916.666666667,547488.095238095,1,0,1,547488.095238095
2,1,20,150,104750,796464.285714286,1,2,4,199116.071428571
2,6,30,300,360000,595714.285714286,1,0,1,595714.285714286
2,1,80,400,522333.333333333,1036619.04761905,1,0,3,345539.682539683
2,1,30,150,412916.666666667,1004345.23809524,1,0,5,200869.047619048
2,1,63,300,260833.333333333,646547.619047619,1,0,6,107757.936507937
2,1,80,400,379750,936892.857142857,0,0,4,234223.214285714
2,1,40,64,208916.666666667,658916.666666667,1,2,3,219638.888888889
2,1,20,80,550266.666666667,1270266.66666667,13,1,4,317566.666666667
2,1,56,150,636416.666666667,1664988.0952381,18,1,5,332997.619047619
2,1,16,48,174583.333333333,538869.047619048,1,2,3,179623.015873016
2,1,20,120,340000,1141428.57142857,12,1,4,285357.142857143
2,5,12,36,431666.666666667,1323095.23809524,5,1,3,441031.746031746
2,1,24,60,101583.333333333,521583.333333333,1,2,1,521583.333333333
2,1,48,150,428708.333333333,1135851.19047619,13,1,3,378617.063492063
2,1,24,48,321416.666666667,698559.523809524,15,2,2,349279.761904762
2,1,20,72,488166.666666667,1323880.95238095,13,1,5,264776.19047619
2,1,40,80,525833.333333333,1267261.9047619,1,2,6,211210.317460317
2,1,121,250,626750,3489607.14285714,12,1,8,436200.892857143
2,1,54,225,355558.333333333,857415.476190476,1,2,6,142902.579365079
2,1,20,270,388500,1172785.71428571,1,2,5,234557.142857143
2,1,12,120,220833.333333333,810119.047619048,9,1,3,270039.682539683
2,1,32,48,369208.333333333,909208.333333333,1,2,4,227302.083333333
2,1,48,435,728700,2405271.42857143,1,2,9,267252.380952381
2,1,15,120,141583.333333333,495154.761904762,7,2,4,123788.69047619
2,1,21,180,119166.666666667,695595.238095238,1,2,3,231865.079365079
2,1,30,500,75541.6666666667,546970.238095238,1,2,3,182323.412698413
2,1,30,600,246750,568178.571428571,1,2,3,189392.857142857
2,1,126,660,851166.666666667,2694023.80952381,1,2,8,336752.976190476
2,1,35,300,293333.333333333,1045476.19047619,1,2,2,522738.095238095
2,1,120,500,502958.333333333,2524958.33333333,7,2,8,315619.791666667
2,1,42,500,520708.333333333,1742136.9047619,1,2,5,348427.380952381
2,1,88,525,417625,1103767.85714286,1,2,7,157681.12244898
2,1,24,120,275833.333333333,1126547.61904762,1,2,5,225309.523809524
2,5,30,150,636166.666666667,1844738.0952381,12,1,2,922369.047619048
2,2,48,210,516583.333333333,1000869.04761905,13,1,3,333623.015873016
2,1,72,375,563833.333333333,2239547.61904762,7,3,8,279943.452380952
2,1,30,56,219941.666666667,644227.380952381,1,2,3,214742.46031746
2,1,108,192,706833.333333333,2374833.33333333,13,1,4,593708.333333333
2,1,30,42,261083.333333333,961369.047619048,1,2,3,320456.349206349
2,1,150,672,492333.333333333,1542333.33333333,1,2,5,308466.666666667
2,1,76,600,228083.333333333,690083.333333333,1,2,3,230027.777777778
2,1,35,300,346000,1267428.57142857,1,2,8,158428.571428571
2,1,48,575,233541.666666667,743541.666666667,1,2,5,148708.333333333
2,1,12,300,292500,1280357.14285714,1,2,3,426785.714285714
2,1,20,30,202858.333333333,841429.761904762,1,2,6,140238.293650794
2,1,40,150,471416.666666667,1899845.23809524,1,2,6,316640.873015873
2,1,54,300,499166.666666667,1744166.66666667,1,2,4,436041.666666667
2,1,24,360,607333.333333333,2150190.47619048,1,2,6,358365.079365079
2,1,108,300,624500,1815071.42857143,12,1,4,453767.857142857
2,1,42,150,535833.333333333,1077976.19047619,1,2,5,215595.238095238
2,1,28,90,217333.333333333,1265190.47619048,1,1,4,316297.619047619
2,1,35,180,214250,1244964.28571429,1,1,4,311241.071428571
2,1,28,210,128150,552435.714285714,12,1,5,110487.142857143
2,1,56,380,235250,685250,1,2,2,342625
2,1,96,800,445850,1306850,13,1,2,653425
2,1,36,200,236750,888607.142857143,1,2,3,296202.380952381
2,1,49,140,288066.666666667,772352.380952381,1,2,3,257450.793650794
2,1,60,450,466916.666666667,1253345.23809524,7,2,5,250669.047619048
1,1,30,150,163416.666666667,761273.809523809,1,1,3,253757.936507936
1,3,12,300,125916.666666667,446488.095238095,0,0,2,223244.047619048
2,1,24,300,114333.333333333,440047.619047619,9,1,3,146682.53968254
2,1,20,300,148750,516464.285714286,1,1,3,172154.761904762
2,1,56,450,484166.666666667,1223452.38095238,1,1,5,244690.476190476
2,1,12,120,66500,483928.571428571,1,1,3,161309.523809524
2,1,9,48,70333.3333333333,426047.619047619,1,1,2,213023.80952381
2,6,64,400,277000,606142.857142857,1,1,3,202047.619047619
2,1,49,800,353750,1131607.14285714,16,2,3,377202.380952381
2,1,24,400,131166.666666667,401166.666666667,1,2,1,401166.666666667
2,1,42,80,339166.666666667,872738.095238095,1,2,4,218184.523809524
2,6,100,750,164250,852107.142857143,1,2,3,284035.714285714
2,1,6,150,84416.6666666667,679273.809523809,1,1,3,226424.603174603
2,1,24,225,175000,882142.857142857,1,1,3,294047.619047619
2,1,42,375,364083.333333333,1491226.19047619,4,2,4,372806.547619048
2,1,88,360,337875,1289303.57142857,1,2,5,257860.714285714
2,1,60,120,333933.333333333,1024790.47619048,15,2,2,512395.238095238
2,1,60,180,296891.666666667,1115891.66666667,1,2,3,371963.888888889
2,1,42,300,249583.333333333,1213011.9047619,1,2,3,404337.301587302
2,1,36,100,156250,495678.571428571,1,0,1,495678.571428571
2,1,63,300,128750,715892.857142857,1,2,2,357946.428571429
2,6,36,300,399750,1959750,4,2,5,391950
2,6,42,180,330750,965035.714285714,1,2,3,321678.571428571
2,6,36,40,147916.666666667,946345.238095238,7,1,4,236586.30952381
2,1,80,240,389166.666666667,1392023.80952381,7,2,4,348005.952380952
2,1,35,260,105166.666666667,722309.523809524,6,1,2,361154.761904762
2,1,80,225,381500,940785.714285714,7,2,3,313595.238095238
2,1,15,200,73333.3333333333,581190.476190476,1,1,3,193730.158730159
2,1,16,300,59750,308321.428571429,0,0,1,308321.428571429
2,6,70,300,332083.333333333,1184940.47619048,7,2,3,394980.158730159
2,6,56,187,275416.666666667,1113273.80952381,9,2,4,278318.452380952
2,1,42,264,354583.333333333,802440.476190476,9,2,2,401220.238095238
2,6,48,375,151666.666666667,695952.380952381,0,0,3,231984.126984127
1,6,70,150,283333.333333333,960476.190476191,4,1,4,240119.047619048
1,1,60,160,348333.333333333,1462619.04761905,12,1,3,487539.682539683
1,5,42,45,352375,993946.428571429,14,1,3,331315.476190476
1,6,42,90,289166.666666667,1040880.95238095,9,1,3,346960.317460317
2,1,96,600,473333.333333333,1684047.61904762,1,2,6,280674.603174603
2,4,20,300,223000,823000,4,1,5,164600
2,1,36,225,228416.666666667,800559.523809524,1,2,4,200139.880952381
1,1,30,54,188166.666666667,563166.666666667,8,1,3,187722.222222222
1,6,42,150,118333.333333333,731190.476190476,1,2,5,146238.095238095
2,1,60,800,292083.333333333,819226.190476191,7,2,2,409613.095238095
2,1,120,900,1238350,3026350,12,1,4,756587.5
2,1,49,72,77083.3333333333,702797.619047619,1,2,3,234265.873015873
2,1,120,998,501625,1774482.14285714,12,1,5,354896.428571429
2,6,36,250,202083.333333333,849226.190476191,5,1,3,283075.396825397
2,6,34,150,99166.6666666667,866309.523809524,6,1,4,216577.380952381
2,6,42,120,258000,878142.857142857,4,2,4,219535.714285714
2,1,56,204,174583.333333333,481440.476190476,0,0,1,481440.476190476
2,1,42,180,176475,630760.714285714,1,1,2,315380.357142857
2,1,36,150,205308.333333333,725165.476190476,1,1,3,241721.825396825
2,1,48,300,309483.333333333,832769.047619048,4,2,4,208192.261904762
2,6,48,150,368816.666666667,1057102.38095238,7,2,4,264275.595238095
2,1,36,150,216625,685053.571428571,1,1,3,228351.19047619
2,1,18,425,170766.666666667,652909.523809524,1,1,2,326454.761904762
2,6,30,800,262500,842357.142857143,1,1,4,210589.285714286
2,1,56,168,434475,1169475,1,1,4,292368.75
2,1,15,35,200958.333333333,591815.476190476,1,1,2,295907.738095238
2,1,20,70,276750,796607.142857143,1,1,3,265535.714285714
2,1,42,150,383208.333333333,1041494.04761905,2,1,4,260373.511904762
2,6,70,180,319166.666666667,1018595.23809524,7,2,4,254648.80952381
1,1,66,150,1309583.33333333,2399440.47619048,9,2,5,479888.095238095
2,1,63,450,333583.333333333,1095154.76190476,18,3,4,273788.69047619
2,1,20,54,253833.333333333,792547.619047619,18,3,3,264182.53968254
2,1,54,180,469666.666666667,973238.095238095,9,3,2,486619.047619048
2,1,20,63,116375,811946.428571429,1,3,2,405973.214285714
2,6,48,770,348916.666666667,1067202.38095238,18,3,6,177867.063492064
2,1,16,128,166083.333333333,929797.619047619,1,3,6,154966.26984127
2,1,20,56,333083.333333333,1108797.61904762,9,3,3,369599.206349206
2,1,30,63,194416.666666667,826130.952380952,1,3,8,103266.369047619
2,1,72,112,278250,1368964.28571429,18,3,4,342241.071428571
1,1,102,200,1119333.33333333,2334761.9047619,13,3,5,466952.380952381
1,3,120,400,548591.666666667,1811163.0952381,9,3,4,452790.773809524
1,6,70,510,727166.666666667,1698309.52380952,1,3,3,566103.174603175
1,6,42,150,133933.333333333,658933.333333333,1,3,2,329466.666666667
2,1,60,150,734083.333333333,1536369.04761905,13,3,4,384092.261904762
2,1,45,75,1435350,2647778.57142857,7,2,2,1323889.28571429
2,1,50,225,749850,1078992.85714286,7,2,1,1078992.85714286
2,1,42,150,447916.666666667,1257916.66666667,6,3,3,419305.555555556
2,1,88,600,666333.333333333,2017190.47619048,13,1,5,403438.095238095
1,1,35,225,310916.666666667,712916.666666667,4,3,4,178229.166666667
1,5,46,300,2561666.66666667,4312380.95238095,9,2,5,862476.190476191
1,1,16,25,703666.666666667,1596809.52380952,6,1,7,228115.646258503
1,1,36,300,428333.333333333,1032619.04761905,1,3,3,344206.349206349
1,1,26,80,300208.333333333,666636.904761905,7,1,2,333318.452380952
1,1,30,150,216833.333333333,614119.047619048,6,3,3,204706.349206349
1,1,36,225,877200,1839342.85714286,1,1,4,459835.714285714
1,5,22,117,344750,1217321.42857143,9,1,4,304330.357142857
1,2,60,100,1049000,2198428.57142857,11,1,4,549607.142857143
1,1,100,100,2818558.33333333,4380701.19047619,12,1,4,1095175.29761905
2,1,56,300,473241.666666667,1077098.80952381,1,1,6,179516.468253968
2,1,54,300,281883.333333333,1260740.47619048,6,1,3,420246.825396825
2,1,56,84,3276291.66666667,4841863.0952381,14,1,8,605232.886904762
2,1,36,200,235541.666666667,603684.523809524,6,1,3,201228.174603175
2,1,39,225,526108.333333333,1241822.61904762,1,2,3,413940.873015873
2,1,20,100,141458.333333333,642886.904761905,1,1,2,321443.452380952
2,1,25,100,367916.666666667,1379345.23809524,1,2,4,344836.30952381
2,1,54,800,1425000,1890000,7,2,3,630000
2,1,25,100,129583.333333333,811011.904761905,1,2,3,270337.301587302
2,1,70,500,1827083.33333333,2748511.9047619,13,1,4,687127.976190476
2,6,56,240,201250,679535.714285714,1,3,3,226511.904761905
2,6,36,200,696666.666666667,1828095.23809524,15,2,5,365619.047619048
2,1,36,300,205416.666666667,1264845.23809524,1,2,4,316211.30952381
2,1,60,300,1389900,2987614.28571429,1,2,6,497935.714285714
2,4,42,200,231166.666666667,1016738.0952381,1,2,6,169456.349206349
2,1,20,56,332500,728071.428571429,4,1,3,242690.476190476
2,1,47,300,568783.333333333,1533069.04761905,4,2,4,383267.261904762
2,1,56,80,521250,1716964.28571429,6,1,5,343392.857142857
2,1,42,60,540416.666666667,2034845.23809524,1,2,12,169570.436507936
2,1,56,300,346083.333333333,887369.047619048,13,1,3,295789.682539683
2,1,40,70,538750,1612321.42857143,2,2,3,537440.476190476
2,6,30,300,291250,811964.285714286,1,2,3,270654.761904762
2,1,30,150,243750,805178.571428571,1,2,3,268392.857142857
2,1,42,240,263750,675178.571428571,1,2,3,225059.523809524
2,1,25,300,225416.666666667,761130.952380952,1,2,3,253710.317460317
2,1,80,360,321500,950642.857142857,1,1,8,118830.357142857
2,1,30,300,200416.666666667,508988.095238095,1,1,6,84831.3492063492
2,6,42,96,78333.3333333333,258333.333333333,1,1,2,129166.666666667
2,1,35,260,82916.6666666667,423630.952380952,1,2,5,84726.1904761905
2,4,30,260,111666.666666667,482380.952380952,2,1,3,160793.650793651
2,1,42,120,103333.333333333,662190.476190476,1,1,6,110365.079365079
2,4,50,440,281416.666666667,722845.238095238,15,3,3,240948.412698413
1,1,56,190,300583.333333333,739440.476190476,1,1,4,184860.119047619
2,1,36,300,142166.666666667,617880.952380952,1,1,3,205960.317460317
2,1,20,50,423750,1245750,1,2,4,311437.5
2,1,54,250,216250,554821.428571429,1,2,2,277410.714285714
2,1,54,100,587791.666666667,1092648.80952381,1,2,3,364216.26984127
2,1,56,450,208958.333333333,813244.047619048,1,1,6,135540.674603175
2,1,42,75,224583.333333333,788154.761904762,0,0,2,394077.380952381
2,1,63,750,213625,980767.857142857,1,2,5,196153.571428571
2,1,72,312,488000,1006571.42857143,1,2,3,335523.80952381
2,1,20,360,603750,1314750,1,2,4,328687.5
2,1,30,650,124416.666666667,398702.380952381,7,2,1,398702.380952381
2,1,35,264,335833.333333333,930690.476190476,4,2,4,232672.619047619
2,1,63,420,3881916.66666667,5671630.95238095,16,2,7,810232.993197279
2,1,40,180,90291.6666666667,398005.952380952,1,1,4,99501.4880952381
2,1,36,275,245000,822285.714285714,1,2,4,205571.428571429
2,4,150,800,4127083.33333333,5335654.76190476,7,2,5,1067130.95238095
2,1,63,600,196416.666666667,679845.238095238,1,0,2,339922.619047619
2,1,35,360,172191.666666667,540763.095238095,0,0,2,270381.547619048
2,7,33,360,224750,693178.571428571,1,1,3,231059.523809524
2,1,20,108,98866.6666666667,563438.095238095,1,1,4,140859.523809524
2,6,44,750,291583.333333333,844440.476190476,6,1,5,168888.095238095
2,1,20,240,165416.666666667,737559.523809524,18,2,5,147511.904761905
2,1,30,247,286875,839732.142857143,1,2,5,167946.428571429
2,1,54,450,271833.333333333,933976.190476191,1,2,3,311325.396825397
2,6,48,300,103708.333333333,425136.904761905,1,1,2,212568.452380952
2,1,35,345,191083.333333333,1097511.9047619,1,1,4,274377.976190476
2,1,24,120,131400,593828.571428571,1,1,4,148457.142857143
2,1,15,70,160816.666666667,773673.809523809,1,3,5,154734.761904762
2,1,16,390,152000,644428.571428571,1,3,4,161107.142857143
